"Key","Texto","NomeGDT","Quem","Onde","Quando","TipoDeliberacao","DeliberacaoFinal","EmailResponsaveis","NomeAutores","NomeEvento","TituloEvento","Ano","Mes"
1,"Que a CENAPET solicite ao CLAA e ao MEC a flexibilização, no início do ano que vem, da avaliação dos PETs com relação às atividades de ensino, pesquisa e extensão planejadas, enquanto houver a necessidade de distanciamento social imposto pela pandemia.",Encontro de Docentes,Diretoria da CENAPET,"",no início do ano que vem (2021),Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
2,"Que, após a Assembleia do VII ECOPET, a CENAPET cobre do MEC, por canais formais, de uma maneira mais efetiva, o pagamento das bolsas, pelo respeito ao calendário dos pagamentos e a permanência da regularidade dos mesmos.",Encontro de Docentes,Diretoria da CENAPET,"",após a Assembleia do VII ECOPET,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
3,"Que, após a aprovação na assembleia do VII ECOPET, os CLAAs de cada instituição designem, como novo critério para homologação de editais de processo seletivo, a realização de uma etapa que envolva avaliação do conhecimento da legislação referente ao programa, preferencialmente sendo realizada, em meio à entrevista, perguntas sobre o assunto, ou a apresentação, por parte dos integrantes que irão homologar o edital, do MOB e das leis e portarias que regem o programa.",Encontro de Discentes ,CLAA,"",após a aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
4,"Compreendendo o cenário de sucateamento da educação e também a importância da defesa do Programa de Educação Tutorial, propõe-se que os grupos PET, a partir de 2021, se aliem a: (I) outras instâncias da IES, como projetos de extensão, grupos de terceirizados, técnicos administrativos etc.; (II) outros espaços públicos, como movimentos sociais e políticos, mobilização estudantil, coletivos, entre outros; para divulgar o programa e estabelecer um vínculo e uma rede de apoio em defesa do PET e desses mesmos movimentos.",Encontro de Discentes,Grupos PET,"",a partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
5,"Que os grupos PET desenvolvam atividades de extensão de forma periódica, chamando alunos de escolas a participarem de eventos na universidade que sejam específicos para essa comunidade, assim como visitando escolas no intuito de divulgar e falar sobre seus respectivos cursos de graduação.",Encontro de Discentes,Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
6,"Que, após a assembleia do VII ECOPET, a CENAPET solicite ao Ministério da Educação, por meios oficiais, maior agilidade no retorno das avaliações quanto às prestações de contas de grupos que apresentaram diligências.",Encontro CLAA,Diretoria da CENAPET,"",após a assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
7,"Que a organização do ECOPET anexe aos documentos finais do evento os modelos de edital de seleção utilizados e compartilhados pelos CLAAs que possuam integrantes presentes no evento, e que os enviem até o final da assembleia síncrona do evento, bem como seus respectivos regimentos ou minutas.",Encontro CLAA,Comissão organizadora de eventos PET,"",após a assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
8,"Que os grupos PET incluam, até dezembro de 2020, nos seus editais de seleção, ações afirmativas de ingresso, na forma de acréscimo de pontuação, reserva de vagas ou outros meios que considerem adequados, para os estudantes inseridos em minorias políticas, tais como negros, indígenas, estudantes de comunidades tradicionais, pessoas com deficiência (PCDs) e membros da comunidade LGBT, em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero.","GDT PET, Diversidade e Direitos Humanos II",Grupos PET,"",Até dezembro de 2020,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
9,"Que, após a assembleia do VII ECOPET, no primeiro planejamento anual de atividades, os grupos PET insiram alguma atividade que vise formação dos integrantes acerca da historicidade e da importância das ações afirmativas, em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero.","GDT PET, Diversidade e Direitos Humanos II",Grupos PET,"",após a assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
10,"Que, após a assembleia do VII ECOPET, os CLAAs, na avaliação dos planejamentos, verifiquem se existem ações em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero. Em caso de inexistência, o CLAA deverá retornar o planejamento aos grupos para que seja efetivada a sua inclusão.","GDT PET, Diversidade e Direitos Humanos II",CLAA,"",após a assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
